goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
3,1,0,71,57.26,7,50.0,24,51.06,25,3,89.25,78,56.52,1135,22,11,13,17,0,0,0,9,3,0,0,0,0,255,8,797,26,15,34.88,49,65.33,13,13,7,3,28,13,7,10.71,1,1,3.51,0,0,0,Nuno Mendes,Paris Saint-Germain,989768,1644,France Ligue 1
2,2,0,39,61.9,33,46.48,7,100.0,27,1,92.69,72,53.73,1545,5,16,1,18,0,0,0,9,3,0,0,0,0,59,1,824,4,0,0.0,50,66.67,22,67,10,3,16,4,3,12.5,0,1,1.62,0,0,1,Samson Baidoo,RC Lens,1099117,1648,France Ligue 1
0,2,0,3,100.0,4,100.0,0,0.0,0,1,75.58,7,100.0,2160,4,0,0,24,64,40,24,15,6,10,6,4,7,13,0,489,2,0,0.0,117,43.49,0,11,0,0,0,0,0,0.0,0,0,,0,0,0,Robin Risser,RC Lens,1387161,1648,France Ligue 1
0,0,0,17,65.38,16,55.17,1,100.0,15,0,95.24,33,60.0,779,1,7,2,11,0,0,0,3,1,0,0,0,0,115,0,660,2,0,0.0,38,66.67,6,29,1,0,1,0,0,0.0,0,0,0.09,0,1,0,Marquinhos,Paris Saint-Germain,155995,1644,France Ligue 1
1,4,1,113,59.79,8,47.06,19,40.43,43,4,87.0,121,58.74,1785,51,20,21,21,0,0,0,24,1,0,0,0,0,244,11,1077,32,24,28.57,58,61.05,11,11,9,1,18,5,6,5.56,0,1,1.41,0,3,2,Valentín Barco,RC Strasbourg,1127057,1659,France Ligue 1
6,1,0,126,48.84,2,15.38,60,49.59,12,2,81.27,128,47.23,1984,54,13,46,23,0,0,0,22,3,0,0,0,0,247,1,460,43,7,24.14,12,54.55,11,2,13,2,40,13,17,15.0,1,1,4.36,0,0,1,Yann Gboho,Toulouse,911851,1681,France Ligue 1
2,4,1,61,57.55,11,42.31,10,62.5,37,2,88.44,72,54.55,1857,14,25,10,21,0,0,0,18,5,0,0,0,0,222,2,964,25,18,23.68,78,70.91,16,32,6,1,22,6,11,9.09,1,0,1.31,0,2,1,Tyler Morton,Olympique Lyonnais,979118,1649,France Ligue 1
0,0,0,5,55.56,0,0.0,3,60.0,1,0,82.5,5,55.56,90,1,0,2,1,0,0,0,1,0,0,0,0,0,11,0,33,0,0,0.0,1,50.0,0,0,0,0,3,1,1,0.0,0,0,0.22,0,0,0,Andy Diouf,RC Lens,1048889,1648,France Ligue 1
0,1,0,10,83.33,1,25.0,2,66.67,4,0,86.79,11,68.75,120,4,1,0,2,0,0,0,0,0,0,0,0,0,11,0,46,0,0,0.0,1,50.0,5,12,0,0,1,0,0,0.0,0,0,0.06,0,0,0,Kyllian Antonio,RC Lens,1546405,1648,France Ligue 1
2,3,0,70,53.44,19,59.38,12,57.14,26,4,91.86,89,54.6,1838,32,21,12,22,0,0,0,28,1,0,0,0,0,364,3,1444,26,0,0.0,58,59.79,18,29,19,4,30,9,8,6.67,1,0,2.06,0,4,0,Pierre-Emile Højbjerg,Olympique de Marseille,149593,1641,France Ligue 1
0,0,1,8,88.89,6,85.71,1,100.0,2,0,52.46,14,87.5,1936,6,1,0,22,76,50,26,26,5,7,9,7,11,26,0,320,1,0,0.0,157,35.2,0,15,0,0,0,0,0,0.0,0,0,,2,1,0,Donovan Léon,Auxerre,159837,1646,France Ligue 1
0,2,0,62,67.39,35,61.4,5,71.43,46,1,87.9,97,65.1,2070,12,14,2,23,0,0,0,13,6,0,0,0,0,149,1,1162,2,2,33.33,86,54.09,57,96,13,2,15,4,3,0.0,2,0,0.98,0,2,0,Malang Sarr,RC Lens,826203,1648,France Ligue 1
1,2,0,31,50.0,4,57.14,3,42.86,18,1,86.83,35,50.72,608,10,9,7,7,0,0,0,4,1,0,0,0,0,86,2,290,15,3,23.08,16,57.14,16,9,11,1,20,9,4,5.0,0,0,0.94,0,0,0,Pape Diop,Toulouse,1410217,1681,France Ligue 1
10,2,0,53,44.17,14,37.84,22,61.11,18,2,82.79,67,42.68,1618,13,30,17,23,0,0,0,10,3,0,0,0,0,139,10,457,23,5,27.78,23,62.16,9,15,10,8,45,20,10,22.22,1,12,7.8,0,0,0,Wesley Saïd,RC Lens,227862,1648,France Ligue 1
0,3,0,49,60.49,53,63.1,4,66.67,25,2,90.31,102,61.82,1858,20,27,1,22,0,0,0,16,4,0,0,0,0,109,3,1295,9,2,100.0,54,42.52,15,120,6,0,3,0,1,0.0,0,0,0.18,0,2,0,Moussa Niakhaté,Olympique Lyonnais,758168,1649,France Ligue 1
0,0,0,1,100.0,0,0.0,0,0.0,1,0,67.35,1,100.0,180,0,0,0,2,7,6,1,3,1,0,0,0,0,0,0,33,0,0,0.0,9,36.0,0,1,0,0,0,0,0,0.0,0,0,,0,0,0,Melvin Zinga,Angers,963201,1684,France Ligue 1
0,1,0,4,57.14,3,60.0,2,66.67,2,0,91.51,7,58.33,180,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,97,0,0,0.0,1,20.0,0,8,1,0,2,0,0,0.0,0,0,0.14,0,0,0,Jaydee Canvot,Toulouse,1471671,1681,France Ligue 1
0,4,0,83,62.88,10,41.67,12,52.17,34,3,84.07,93,59.62,1208,37,19,14,16,0,0,0,13,0,0,0,0,0,153,6,649,23,17,26.98,44,61.97,30,12,8,1,13,1,4,0.0,0,0,1.14,0,3,0,Lamine Camara,AS Monaco,1389846,1653,France Ligue 1
1,4,0,29,50.0,38,63.33,1,33.33,22,0,92.86,67,56.78,1399,6,21,3,16,0,0,0,16,1,0,0,0,0,108,1,1210,3,0,0.0,28,36.84,21,75,4,0,10,1,4,10.0,0,0,0.66,1,0,0,Nayef Aguerd,Olympique de Marseille,877102,1641,France Ligue 1
