goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
2,7,1,58,56.31,84,65.12,7,70.0,44,0,90.97,142,61.21,2158,7,25,5,25,0,0,0,13,4,0,0,0,0,186,1,1561,10,2,25.0,51,47.66,30,100,13,6,27,6,8,7.41,0,0,2.62,0,3,0,Jacobo Ramón,Como,1403348,2704,Italy Serie A
7,2,0,58,47.93,9,45.0,7,35.0,25,3,77.8,67,47.52,1319,27,24,14,17,0,0,0,16,3,0,0,0,0,134,5,340,25,12,31.58,24,53.33,16,18,12,4,29,15,2,24.14,0,8,5.36,0,0,0,Domenico Berardi,Sassuolo,253367,2793,Italy Serie A
0,4,0,2,66.67,14,93.33,0,0.0,0,0,60.97,16,88.89,2340,3,1,0,26,98,65,32,31,3,62,16,17,19,44,0,467,1,0,0.0,173,37.2,0,40,1,0,0,0,0,0.0,0,0,,1,4,0,Arijanet Murić,Sassuolo,888971,2793,Italy Serie A
0,3,1,62,67.39,48,64.0,4,80.0,39,0,90.66,110,65.87,2023,20,16,6,24,0,0,0,20,2,0,0,0,0,116,0,1339,4,1,100.0,107,67.72,20,85,9,3,11,3,3,0.0,2,0,0.94,0,2,0,Mario Gila Fuentes,Lazio,965828,2699,Italy Serie A
2,0,0,34,57.63,7,46.67,3,75.0,21,3,81.32,41,55.41,880,10,11,11,13,0,0,0,10,0,0,0,0,0,95,5,296,20,20,33.9,28,51.85,5,3,2,0,24,5,9,8.33,0,1,1.22,0,1,0,Medon Berisha,Lecce,1142149,2689,Italy Serie A
0,0,0,4,80.0,0,0.0,1,100.0,0,0,84.62,4,80.0,25,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,11,0,1,33.33,0,0.0,0,0,1,0,0,0,0,0.0,0,0,,0,0,0,Samuel Chukwueze,Milan,822470,2692,Italy Serie A
0,1,0,2,66.67,3,100.0,0,0.0,0,0,61.29,5,83.33,990,2,0,0,11,36,20,16,10,4,10,9,3,9,45,0,247,0,0,0.0,114,42.38,0,10,1,0,0,0,0,0.0,0,0,,0,0,0,Zion Suzuki,Parma,905351,2690,Italy Serie A
1,4,0,81,55.1,0,0.0,17,65.38,32,3,89.92,81,54.73,1807,32,16,22,24,0,0,0,27,8,0,0,0,0,270,10,1097,52,18,25.35,76,65.52,10,16,19,0,22,5,11,4.55,0,0,1.44,1,1,0,Nicolò Fagioli,Fiorentina,901850,2693,Italy Serie A
5,1,0,41,59.42,9,50.0,15,75.0,16,1,92.33,50,57.47,1365,11,13,4,24,0,0,0,11,2,0,0,0,0,304,5,927,21,8,44.44,35,67.31,2,20,8,1,20,8,8,25.0,1,0,1.99,0,1,0,Piotr Zieliński,Inter,138605,2697,Italy Serie A
0,1,0,2,66.67,10,90.91,1,100.0,0,0,75.29,12,85.71,2430,2,0,0,27,90,55,33,24,3,16,9,11,9,19,1,649,1,0,0.0,173,45.29,0,23,1,0,0,0,0,0.0,0,0,,1,0,0,Ivan Provedel,Lazio,308182,2699,Italy Serie A
