goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
5,2,0,105,54.12,22,40.74,25,47.17,32,5,79.35,127,51.21,1323,48,19,26,17,0,0,0,14,4,0,0,0,0,158,9,369,18,2,6.67,9,75.0,10,8,20,7,50,14,14,10.0,4,2,5.91,0,0,0,Abdessamad Ezzalzouli,Real Betis,1011375,2816,Spain La Liga
2,2,0,62,59.62,19,63.33,15,55.56,36,7,89.83,81,60.45,2161,11,13,6,26,0,0,0,17,4,0,0,0,0,480,7,1361,37,5,20.83,53,57.61,20,42,11,1,37,11,9,5.41,0,1,1.84,1,1,0,Federico Valverde,Real Madrid,831808,2829,Spain La Liga
1,5,1,35,62.5,37,60.66,2,100.0,24,2,89.14,72,61.54,1409,9,16,2,19,0,0,0,9,3,0,0,0,0,193,1,1018,9,0,0.0,74,63.25,17,84,5,2,16,3,4,6.25,0,0,1.8,0,2,0,Dean Huijsen,Real Madrid,1176744,2829,Spain La Liga
2,7,0,166,63.85,4,23.53,41,65.08,45,1,90.16,170,61.37,2240,81,22,34,25,0,0,0,28,6,0,0,0,0,444,1,1319,19,1,5.88,38,66.67,17,13,19,1,18,8,6,11.11,0,0,1.7,0,2,0,Aleix Febas,Elche,286167,2846,Spain La Liga
1,1,0,15,35.71,9,56.25,6,40.0,2,1,62.79,24,41.38,270,8,10,8,3,0,0,0,4,0,0,0,0,0,18,1,27,4,1,100.0,1,25.0,0,2,0,1,6,1,2,16.67,0,1,1.42,0,0,0,Christantus Uche,Getafe,1884145,2859,Spain La Liga
1,0,0,4,36.36,0,0.0,1,33.33,0,0,86.11,4,36.36,180,3,3,2,2,0,0,0,3,2,0,0,0,0,25,1,62,9,5,50.0,5,71.43,1,0,1,0,2,1,0,50.0,1,0,0.08,0,0,0,Dodi Lukebakio,Sevilla,823631,2833,Spain La Liga
0,0,0,0,0.0,3,100.0,0,0.0,0,0,74.02,3,37.5,1440,1,0,0,16,55,41,14,24,4,8,16,2,17,31,1,658,3,0,0.0,118,34.81,0,20,5,0,0,0,0,0.0,0,0,,1,1,0,Iñaki Peña,Elche,794949,2846,Spain La Liga
0,3,0,4,66.67,6,85.71,0,0.0,0,0,68.01,10,76.92,2430,4,2,0,27,93,53,40,26,6,17,36,12,36,23,0,506,0,0,0.0,169,42.14,0,35,1,0,0,0,0,0.0,0,0,,2,1,0,Sergio Herrera,Osasuna,294377,2820,Spain La Liga
0,0,0,0,0.0,0,0.0,0,0.0,0,0,82.16,0,0.0,540,0,0,0,6,17,13,3,10,1,1,12,3,12,2,0,152,0,0,0.0,15,31.91,0,9,0,0,0,0,0,0.0,0,0,,0,0,0,Wojciech Szczęsny,Barcelona,50490,2817,Spain La Liga
18,3,1,62,48.44,108,56.25,13,59.09,6,1,63.33,170,53.13,2144,48,26,31,26,0,0,0,33,5,0,0,0,0,84,1,304,12,1,100.0,14,63.64,2,47,5,14,75,36,13,24.0,0,11,12.97,0,0,0,Vedat Muriqi,Mallorca,310874,2826,Spain La Liga
