goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.45,0.0,0.0,3.32,54.41,1.08,60.0,0.63,63.64,2.06,0.09,92.03,4.39,55.68,90,0.72,1.08,0.36,1.25,0.0,0.0,0.0,0.63,0.36,0.0,0.0,0.0,0.0,17.39,0.27,64.18,0.9,0.18,100.0,2.33,72.22,0.45,0.18,1.08,0.09,1.88,0.54,0.45,23.81,0.0,0.0,0.21,0.0,0.09,0.0,João Neves,Paris Saint-Germain,1190933,1644,France Ligue 1
0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,78.13,1.0,100.0,90,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,4.0,36.36,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Karl-Johan Johnsson,RC Strasbourg,40973,1659,France Ligue 1
0.0,0.5,0.0,2.26,37.5,0.25,33.33,0.75,75.0,1.0,0.25,95.06,2.51,37.04,90,0.5,2.01,0.25,1.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,15.04,0.25,62.67,1.75,1.5,33.33,7.77,93.94,0.75,1.0,1.25,0.0,2.01,0.5,0.75,0.0,0.0,0.0,0.08,0.0,0.0,0.0,Branco van den Boomen,Angers,190883,1684,France Ligue 1
0.0,0.05,0.0,0.41,90.0,0.36,80.0,0.0,0.0,0.09,0.05,79.86,0.77,85.0,90,0.41,0.0,0.0,1.0,2.45,1.59,0.82,1.14,0.14,0.45,0.27,0.36,0.32,1.14,0.0,26.68,0.09,0.0,0.0,5.05,43.7,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.05,0.0,Berke Özer,Lille,847494,1643,France Ligue 1
0.53,0.18,0.18,5.49,44.29,0.18,20.0,2.83,43.24,0.71,0.53,75.76,5.67,42.67,90,1.95,1.42,1.42,1.06,0.0,0.0,0.0,1.24,0.35,0.0,0.0,0.0,0.0,7.97,1.06,17.72,2.13,0.71,23.53,2.13,66.67,0.53,0.35,0.35,0.71,3.01,2.13,0.18,17.65,0.0,0.53,0.57,0.0,0.0,0.0,Endrick,Olympique Lyonnais,1174937,1649,France Ligue 1
0.0,0.1,0.0,0.5,90.91,0.65,92.86,0.0,0.0,0.1,0.0,81.51,1.15,92.0,90,0.65,0.05,0.0,1.0,2.85,1.9,0.95,1.25,0.0,1.95,0.95,0.3,0.95,0.45,0.0,26.45,0.0,0.0,0.0,4.9,46.01,0.0,1.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.1,0.0,Gerónimo Rulli,Olympique de Marseille,128383,1641,France Ligue 1
0.24,0.08,0.0,5.63,57.26,0.56,50.0,1.9,51.06,1.98,0.24,89.25,6.19,56.52,90,1.74,0.87,1.03,1.35,0.0,0.0,0.0,0.71,0.24,0.0,0.0,0.0,0.0,20.22,0.63,63.2,2.06,1.19,34.88,3.89,65.33,1.03,1.03,0.56,0.24,2.22,1.03,0.56,10.71,0.08,0.08,0.28,0.0,0.0,0.0,Nuno Mendes,Paris Saint-Germain,989768,1644,France Ligue 1
0.12,0.12,0.0,2.27,61.9,1.92,46.48,0.41,100.0,1.57,0.06,92.69,4.19,53.73,90,0.29,0.93,0.06,1.05,0.0,0.0,0.0,0.52,0.17,0.0,0.0,0.0,0.0,3.44,0.06,48.0,0.23,0.0,0.0,2.91,66.67,1.28,3.9,0.58,0.17,0.93,0.23,0.17,12.5,0.0,0.06,0.09,0.0,0.0,0.06,Samson Baidoo,RC Lens,1099117,1648,France Ligue 1
0.0,0.08,0.0,0.13,100.0,0.17,100.0,0.0,0.0,0.0,0.04,75.58,0.29,100.0,90,0.17,0.0,0.0,1.0,2.67,1.67,1.0,0.63,0.25,0.42,0.25,0.17,0.29,0.54,0.0,20.38,0.08,0.0,0.0,4.88,43.49,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Robin Risser,RC Lens,1387161,1648,France Ligue 1
0.0,0.0,0.0,1.96,65.38,1.85,55.17,0.12,100.0,1.73,0.0,95.24,3.81,60.0,90,0.12,0.81,0.23,1.27,0.0,0.0,0.0,0.35,0.12,0.0,0.0,0.0,0.0,13.29,0.0,76.25,0.23,0.0,0.0,4.39,66.67,0.69,3.35,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.12,0.0,Marquinhos,Paris Saint-Germain,155995,1644,France Ligue 1
