goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.95,0.0,0.0,2.36,31.91,0.95,60.0,1.1,35.0,0.16,0.0,75.0,3.31,36.84,90,1.1,0.95,2.21,1.1,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.0,0.0,4.89,0.0,8.51,0.32,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.63,5.67,2.05,2.21,16.67,0.0,1.1,0.86,0.0,0.0,0.0,Donyell Malen,Roma,803039,2702,Italy Serie A
0.36,0.2,0.0,6.12,50.67,0.93,56.1,2.11,53.61,2.64,0.24,81.91,7.05,51.33,90,1.38,1.74,1.54,1.09,0.0,0.0,0.0,0.65,0.16,0.0,0.0,0.0,0.0,12.12,0.45,35.8,1.66,0.41,21.28,0.89,48.89,0.81,0.41,1.01,0.12,3.89,1.54,1.22,9.38,0.12,0.0,0.29,0.0,0.08,0.0,Nico Paz,Como,1171451,2704,Italy Serie A
0.0,0.0,0.0,0.09,66.67,0.43,90.91,0.04,100.0,0.0,0.0,59.87,0.52,85.71,90,0.22,0.0,0.0,1.0,4.35,2.57,1.74,1.17,0.17,1.13,0.17,0.35,0.17,0.7,0.0,23.35,0.0,0.0,0.0,7.78,33.52,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13,0.04,0.0,Emil Audero,Cremonese,318603,2761,Italy Serie A
0.17,0.12,0.0,4.83,40.89,1.69,50.88,2.39,50.0,0.93,0.17,78.46,6.52,43.08,90,1.51,0.93,2.91,1.22,0.0,0.0,0.0,0.7,0.12,0.0,0.0,0.0,0.0,17.63,0.7,31.36,2.62,0.64,29.73,1.57,62.79,0.06,0.35,0.87,0.12,2.04,0.81,0.76,8.57,0.0,0.17,0.16,0.0,0.0,0.0,Charles De Ketelaere,Atalanta,960441,2686,Italy Serie A
0.0,0.12,0.0,0.23,100.0,0.2,100.0,0.08,100.0,0.0,0.0,77.23,0.43,100.0,90,0.2,0.0,0.0,1.01,2.81,1.83,0.82,0.74,0.04,1.17,0.2,0.2,0.2,0.55,0.0,23.3,0.0,0.0,0.0,4.72,41.72,0.04,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04,0.08,0.0,Mike Maignan,Milan,191210,2692,Italy Serie A
0.0,0.11,0.0,0.18,100.0,0.43,92.31,0.04,100.0,0.04,0.0,82.06,0.61,94.44,90,0.29,0.0,0.0,1.0,2.61,1.64,0.89,0.61,0.14,0.86,1.64,0.36,1.64,1.21,0.0,29.57,0.04,0.0,0.0,6.39,51.14,0.04,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.07,0.0,0.0,Jean Butez,Como,599114,2704,Italy Serie A
0.09,0.18,0.0,6.26,62.95,0.4,47.37,1.78,50.63,2.31,0.13,84.04,6.66,61.73,90,2.22,0.71,0.36,1.11,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,12.44,0.22,36.96,1.51,0.58,20.31,0.8,42.86,0.98,0.8,0.93,0.13,1.51,0.27,0.58,5.88,0.04,0.09,0.1,0.0,0.09,0.0,Alexis Saelemaekers,Milan,901891,2692,Italy Serie A
0.08,0.29,0.04,2.42,56.31,3.5,65.12,0.29,70.0,1.84,0.0,90.97,5.92,61.21,90,0.29,1.04,0.21,1.04,0.0,0.0,0.0,0.54,0.17,0.0,0.0,0.0,0.0,7.76,0.04,65.1,0.42,0.08,25.0,2.13,47.66,1.25,4.17,0.54,0.25,1.13,0.25,0.33,7.41,0.0,0.0,0.11,0.0,0.13,0.0,Jacobo Ramón,Como,1403348,2704,Italy Serie A
0.48,0.14,0.0,3.96,47.93,0.61,45.0,0.48,35.0,1.71,0.2,77.8,4.57,47.52,90,1.84,1.64,0.96,1.16,0.0,0.0,0.0,1.09,0.2,0.0,0.0,0.0,0.0,9.14,0.34,23.2,1.71,0.82,31.58,1.64,53.33,1.09,1.23,0.82,0.27,1.98,1.02,0.14,24.14,0.0,0.55,0.37,0.0,0.0,0.0,Domenico Berardi,Sassuolo,253367,2793,Italy Serie A
0.0,0.15,0.0,0.08,66.67,0.54,93.33,0.0,0.0,0.0,0.0,60.97,0.62,88.89,90,0.12,0.04,0.0,1.0,3.77,2.5,1.23,1.19,0.12,2.38,0.62,0.65,0.73,1.69,0.0,17.96,0.04,0.0,0.0,6.65,37.2,0.0,1.54,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04,0.15,0.0,Arijanet Murić,Sassuolo,888971,2793,Italy Serie A
