goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.17,0.33,0.0,2.57,49.21,2.41,56.86,0.17,50.0,1.58,0.0,87.71,4.98,52.63,90,0.83,2.08,0.17,1.25,0.0,0.0,0.0,0.83,0.08,0.0,0.0,0.0,0.0,12.7,0.0,61.02,0.42,0.17,25.0,2.99,42.86,0.91,5.48,0.25,0.0,0.75,0.33,0.08,22.22,0.0,0.08,0.08,0.0,0.08,0.0,Ramy Bensebaini,Borussia Dortmund,577726,2673,Germany Bundesliga
0.0,0.08,0.0,0.0,0.0,0.38,83.33,0.0,0.0,0.0,0.0,63.3,0.38,83.33,90,0.0,0.0,0.0,1.0,3.62,2.62,1.0,1.23,0.15,0.85,0.31,0.46,0.31,1.85,0.0,19.77,0.08,0.0,0.0,7.31,39.42,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.08,Daniel Batz,1. FSV Mainz 05,94312,2556,Germany Bundesliga
0.04,0.18,0.0,1.55,50.72,0.35,47.06,0.18,30.77,0.75,0.22,93.07,1.91,50.0,90,0.66,0.31,0.18,1.11,0.0,0.0,0.0,1.15,0.13,0.0,0.0,0.0,0.0,22.6,0.44,99.44,1.6,1.15,27.37,5.72,75.88,0.84,1.15,0.62,0.04,0.97,0.13,0.4,4.55,0.0,0.09,0.07,0.0,0.18,0.04,Aleix García,Bayer 04 Leverkusen,796047,2681,Germany Bundesliga
0.23,0.23,0.0,2.0,54.32,5.68,76.69,0.23,100.0,0.68,0.0,83.24,7.68,69.26,90,1.23,0.95,0.59,1.0,0.0,0.0,0.0,1.36,0.14,0.0,0.0,0.0,0.0,3.45,0.0,49.23,0.41,0.0,0.0,3.27,42.35,1.14,8.73,0.18,0.18,1.27,0.36,0.27,17.86,0.05,0.05,0.18,0.05,0.05,0.0,Luka Vušković,Hamburger SV,1405212,2676,Germany Bundesliga
0.0,0.0,0.0,0.08,66.67,0.17,80.0,0.0,0.0,0.04,0.0,66.9,0.25,75.0,90,0.08,0.04,0.0,1.0,3.13,2.29,0.79,1.54,0.17,0.46,0.58,0.5,0.63,2.46,0.04,31.58,0.04,0.0,0.0,11.38,42.39,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.04,0.0,Marvin Schwäbe,1. FC Köln,187185,2671,Germany Bundesliga
0.09,0.09,0.0,1.38,55.17,2.75,66.67,0.0,0.0,1.29,0.09,94.98,4.13,62.34,90,0.09,0.69,0.0,1.46,0.0,0.0,0.0,0.86,0.09,0.0,0.0,0.0,0.0,12.82,0.09,82.94,0.17,0.0,0.0,1.38,57.14,1.89,4.73,0.43,0.0,0.17,0.09,0.0,50.0,0.0,0.0,0.03,0.09,0.0,0.09,Min-jae Kim,FC Bayern München,896569,2672,Germany Bundesliga
0.09,0.14,0.0,3.0,64.08,2.77,60.4,0.45,58.82,2.14,0.0,89.13,5.77,62.25,90,0.55,0.86,0.14,1.0,0.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,8.77,0.0,64.45,0.27,0.09,28.57,2.82,42.47,0.77,5.5,0.41,0.0,0.55,0.18,0.18,16.67,0.0,0.0,0.06,0.0,0.09,0.0,Waldemar Anton,Borussia Dortmund,799046,2673,Germany Bundesliga
0.21,0.14,0.0,2.54,52.94,0.71,40.0,0.21,42.86,1.69,0.07,94.52,3.25,49.46,90,0.64,1.2,0.21,1.41,0.0,0.0,0.0,1.2,0.14,0.0,0.0,0.0,0.0,25.76,0.14,92.61,1.2,0.07,12.5,4.38,76.54,0.85,1.06,0.56,0.0,0.64,0.35,0.07,33.33,0.0,0.0,0.11,0.0,0.0,0.0,Aleksandar Pavlović,FC Bayern München,1142251,2672,Germany Bundesliga
0.0,0.0,0.0,0.12,100.0,0.16,100.0,0.0,0.0,0.04,0.0,71.61,0.28,100.0,90,0.08,0.0,0.0,1.0,3.88,2.28,1.56,1.68,0.04,0.6,0.24,0.32,0.32,1.16,0.04,22.8,0.08,0.0,0.0,6.24,41.38,0.04,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Moritz Nicolas,Borussia M'gladbach,578166,2527,Germany Bundesliga
0.13,0.25,0.0,2.92,48.94,0.51,37.5,0.55,44.83,1.86,0.21,81.23,3.43,46.82,90,0.51,1.06,0.17,1.02,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,12.54,0.76,49.87,3.35,3.05,34.29,2.97,43.75,1.1,3.86,1.14,0.08,0.89,0.25,0.13,14.29,0.08,0.21,0.09,0.04,0.04,0.04,David Raum,RB Leipzig,856076,36360,Germany Bundesliga
